Name,Score
Intel Core i7-5850EQ @ 2.70GHz,7036
Intel Core i7-6820EQ @ 2.80GHz,7025
AMD Ryzen 7 3700U,7012
Intel Core i7-6820HK @ 2.70GHz,6995
AMD Ryzen 7 PRO 2700U,6944
Intel Core i5-8305G @ 2.80GHz,6917
AMD Ryzen 5 PRO 3500U,6914
Intel Core i7-7700HQ @ 2.80GHz,6882
Intel Core i7-5850HQ @ 2.70GHz,6866
AMD Ryzen 7 2700U,6828
Intel Xeon D-1528 @ 1.90GHz,6823
AMD Ryzen 5 3500U,6811
Snapdragon 8cx Gen 2 @ 3.0 GHz,6794
Intel Core i7-4940MX @ 3.10GHz,6787
Intel Core i7-6820HQ @ 2.70GHz,6749
Snapdragon 8cx Gen 2 @ 3.15 GHz,6748
AMD Ryzen 3 PRO 3200GE,6745
AMD Ryzen Embedded V1605B,6740
Fabrikams XY9 @ 3.15 GHz,6715
AMD Ryzen 7 3700C,6714
AMD Ryzen 5 PRO 2500U,6611
Microsoft SQ2 @ 3.15 GHz,6579
Intel Core i7-10610U @ 1.80GHz,6577
Intel Core i7-4980HQ @ 2.80GHz,6556
AMD Ryzen 5 3450U,6547
Intel Core i7-6700HQ @ 2.60GHz,6525
AMD Ryzen 5 2500U,6493
Intel Core i7-1060NG7 @ 1.20GHz,6430
Intel Core i7-4930MX @ 3.00GHz,6391
Intel Core i7-10510U @ 1.80GHz,6373
Intel Core i7-4960HQ @ 2.60GHz,6368
Intel Xeon E3-1268L v5 @ 2.40GHz,6334
Intel Core i7-4870HQ @ 2.50GHz,6310
Intel Core i7-4760HQ @ 2.10GHz,6300
Intel Core i7-4910MQ @ 2.90GHz,6268
Intel Core i7-4860HQ @ 2.40GHz,6232
Intel Core i7-4900MQ @ 2.80GHz,6212
Intel Core i7-8565UC @ 1.80GHz,6187
Intel Core i7-8650U @ 1.90GHz,6186
Intel Core i7-8665U @ 1.90GHz,6173
Intel Core i7-4850HQ @ 2.30GHz,6136
Intel Core i3-1025G1 @ 1.20GHz,6122
Intel Core i5-8350U @ 1.70GHz,6099
Intel Core i7-5700HQ @ 2.70GHz,6077
Intel Core i5-10210U @ 1.60GHz,6059
Microsoft SQ1 @ 3.0 GHz,6056
Intel Core i7-4810MQ @ 2.80GHz,6037
Intel Core i7-4770HQ @ 2.20GHz,6025
Intel Core i7-3940XM @ 3.00GHz,6008
Intel Core i7-8565U @ 1.80GHz,5954
Intel Core i5-8365U @ 1.60GHz,5951
AMD Ryzen 3 3500U,5946
Intel Core i5-10310U @ 1.70GHz,5910
Intel Xeon E3-1505L v6 @ 2.20GHz,5882
Intel Core i3-8100B @ 3.60GHz,5878
AMD Ryzen 5 3500C,5861
Intel Core i3-1115G4 @ 3.00GHz,5835
Intel Core i7-3840QM @ 2.80GHz,5829
Intel Core i7-5700EQ @ 2.60GHz,5803
Intel Core i7-4800MQ @ 2.70GHz,5796
Intel Core i7-4710MQ @ 2.50GHz,5794
Intel Core i5-8250U @ 1.60GHz,5793
Intel Core i7-8550U @ 1.80GHz,5793
Intel Core i5-8265U @ 1.60GHz,5793
Intel Core i7-4722HQ @ 2.40GHz,5778
AMD Ryzen 3 PRO 3300U,5775
Intel Core i7-3920XM @ 2.90GHz,5745
Intel Core i7-4720HQ @ 2.60GHz,5734
Intel Core i7-3740QM @ 2.70GHz,5713
Intel Core i5-7440EQ @ 2.90GHz,5711
AMD Ryzen 3 3350U,5705
AMD Ryzen 3 PRO 2300U,5672
Intel Core i7-4750HQ @ 2.00GHz,5652
AMD Ryzen 3 3300U,5639
Intel Core i7-3615QE @ 2.30GHz,5617
Intel Core i5-1030NG7 @ 1.10GHz,5602
Intel Core i7-3820QM @ 2.70GHz,5589
Intel Core i7-4700HQ @ 2.40GHz,5576
Intel Core i7-3720QM @ 2.60GHz,5567
Intel Core i7-6822EQ @ 2.00GHz,5550
Intel Core i7-4710HQ @ 2.50GHz,5527
Intel Core i7-4860EQ @ 1.80GHz,5508
Intel Core i5-8365UE @ 1.60GHz,5504
AMD Ryzen 3 2300U,5483
Intel Core i5-7440HQ @ 2.80GHz,5432
Intel Core i7-4702HQ @ 2.20GHz,5421
Intel Core i7-4700MQ @ 2.40GHz,5358
Intel Core i7-3610QE @ 2.30GHz,5333
Intel Core i5-6440EQ @ 2.70GHz,5329
Intel Core i7-4712HQ @ 2.30GHz,5303
Intel Core i7-4712MQ @ 2.30GHz,5302
Intel N95,5295
Intel Core i5-8265UC @ 1.60GHz,5274
Intel Pentium Silver N6005 @ 2.00GHz,5236
Snapdragon 8c @ 2.46 GHz,5230
Snapdragon 8cx @ 2.84 GHz,5188
Intel Core i7-4702MQ @ 2.20GHz,5172
Intel Core i7-3615QM @ 2.30GHz,5172
Intel Pentium Gold 7505 @ 2.00GHz,5171
Intel Core i7-3610QM @ 2.30GHz,5150
Intel Core i7-3630QM @ 2.40GHz,5135
Intel Xeon E3-1505L v5 @ 2.00GHz,5083
Intel Core i5-7300HQ @ 2.50GHz,5079
Intel Core i5-6440HQ @ 2.60GHz,5023
Intel Core i7-3612QE @ 2.10GHz,4929
AMD Athlon Gold 7220U,4903
Intel Core i7-8665UE @ 1.70GHz,4852
Intel Core i5-7442EQ @ 2.10GHz,4834
Intel Core i3-1005G1 @ 1.20GHz,4801
Intel Core i7-3635QM @ 2.40GHz,4798
Intel Core i7-3632QM @ 2.20GHz,4746
Intel Core i5-6300HQ @ 2.30GHz,4670
Intel Core i7-2960XM @ 2.70GHz,4669
Intel Core i7-3612QM @ 2.10GHz,4647
Intel Core i7-6970HQ @ 2.80GHz,4632
Intel Core i3-9100TE @ 2.20GHz,4589
Intel Core i7-2860QM @ 2.50GHz,4563
AMD Athlon Silver 3050GE,4545
Intel Core i5-6442EQ @ 1.90GHz,4483
Intel Pentium 6805 @ 1.10GHz,4472
AMD Athlon 220GE,4444
Intel Core i7-2820QM @ 2.30GHz,4366
Intel Core i7-2760QM @ 2.40GHz,4287
Intel Core i3-8121U @ 2.20GHz,4271
Intel Core i7-2920XM @ 2.50GHz,4269
Intel Core i5-6350HQ @ 2.30GHz,4255
Intel Core i3-8109U @ 3.00GHz,4176
Intel Core i7-7567U @ 3.50GHz,4116
Intel Core i5-10210Y @ 1.00GHz,4080
AMD Athlon PRO 300U,4080
Intel Core i7-2720QM @ 2.20GHz,4031
